Sorensen_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.438843,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.438843,107001.842258,0.578643,0.321228,0.463425,0.725391,0.438843,0.569311
0.438987,107092.628763,0.578918,0.321363,0.463572,0.725687,0.438987,0.569464
0.439187,107302.400911,0.579719,0.321561,0.463772,0.726580,0.439187,0.569650
0.438854,107013.564248,0.578680,0.321239,0.463436,0.725431,0.438854,0.569322
0.436537,107269.401818,0.580079,0.319848,0.461988,0.727170,0.436537,0.567216
0.436381,106820.367754,0.576748,0.319274,0.461410,0.722939,0.436381,0.567094
0.436381,106820.367754,0.576748,0.319274,0.461410,0.722939,0.436381,0.567094
0.436023,106360.449908,0.575183,0.318898,0.461009,0.721215,0.436023,0.566726
0.436648,106911.168655,0.577092,0.319506,0.461657,0.723324,0.436648,0.567359
0.436541,106874.529328,0.576951,0.319410,0.461554,0.723166,0.436541,0.567251
0.460418,213095.703793,1.010198,0.367174,0.508481,1.222035,0.460418,0.591423
0.426911,123003.634773,0.643749,0.318978,0.461115,0.800194,0.426911,0.559281
0.426911,123003.634773,0.643749,0.318978,0.461115,0.800194,0.426911,0.559281
0.426870,123045.424967,0.643773,0.318926,0.461051,0.800053,0.426870,0.559273
0.424891,122749.665121,0.642122,0.317716,0.459795,0.798073,0.424891,0.557614
0.426929,123028.963029,0.643826,0.318996,0.461133,0.800274,0.426929,0.559299
0.429880,114056.073733,0.608150,0.317754,0.459762,0.759451,0.429880,0.561348
0.428222,118397.053256,0.624569,0.318240,0.460323,0.778098,0.428222,0.560227
0.428222,118397.053256,0.624569,0.318240,0.460323,0.778098,0.428222,0.560227
0.428217,118397.354136,0.624559,0.318236,0.460318,0.778083,0.428217,0.560222
0.428221,118407.660729,0.624582,0.318240,0.460324,0.778107,0.428221,0.560228
0.428313,118425.661868,0.624822,0.318327,0.460413,0.778416,0.428313,0.560307
0.428580,117028.223936,0.620051,0.318084,0.460138,0.773214,0.428580,0.560388
0.428922,118332.282489,0.624147,0.318629,0.460714,0.777415,0.428922,0.560882
0.428922,118332.282489,0.624147,0.318629,0.460714,0.777415,0.428922,0.560882
0.428889,118285.528616,0.624012,0.318596,0.460677,0.777270,0.428889,0.560845
0.428759,118032.545733,0.623338,0.318499,0.460590,0.776753,0.428759,0.560680
0.428910,118284.827553,0.624072,0.318617,0.460703,0.777366,0.428910,0.560863
0.428921,117143.546256,0.619439,0.318230,0.460303,0.772189,0.428921,0.560773
0.429021,117843.313135,0.622133,0.318524,0.460609,0.775105,0.429021,0.560950
0.427948,117217.394916,0.620001,0.317639,0.459688,0.772937,0.427948,0.559875
0.427948,117217.394916,0.620001,0.317639,0.459688,0.772937,0.427948,0.559875
0.427915,117210.546963,0.619979,0.317610,0.459656,0.772914,0.427915,0.559840
0.428058,117271.200066,0.620424,0.317749,0.459795,0.773462,0.428058,0.559963
0.428067,117281.688935,0.620459,0.317758,0.459804,0.773501,0.428067,0.559972
0.428711,116823.654183,0.618515,0.318021,0.460084,0.771258,0.428711,0.560541
0.428746,117326.629938,0.620612,0.318223,0.460290,0.773653,0.428746,0.560597
0.428297,117306.447218,0.620358,0.317894,0.459953,0.773334,0.428297,0.560195
0.427735,116884.956517,0.618842,0.317392,0.459425,0.771660,0.427735,0.559646
0.427735,116884.956517,0.618842,0.317392,0.459425,0.771660,0.427735,0.559646
0.427746,116897.455843,0.618885,0.317404,0.459437,0.771707,0.427746,0.559657
0.427757,116893.357790,0.618875,0.317412,0.459445,0.771696,0.427757,0.559667
0.428028,117140.655201,0.619894,0.317680,0.459724,0.772860,0.428028,0.559927
0.428658,116770.845091,0.618377,0.317975,0.460032,0.771117,0.428658,0.560484
0.428987,117464.837452,0.621045,0.318433,0.460511,0.774115,0.428987,0.560838
0.428854,117548.484621,0.621450,0.318379,0.460459,0.774598,0.428854,0.560722
0.427760,116774.130865,0.618598,0.317384,0.459409,0.771424,0.427760,0.559645
0.431123,111994.710293,0.599812,0.318115,0.460150,0.749959,0.431123,0.562507
0.429721,114791.026162,0.610411,0.317921,0.459950,0.761882,0.429721,0.561320
0.428880,116290.250829,0.616761,0.317966,0.460016,0.769334,0.428880,0.560632
0.428463,117165.905164,0.620135,0.317979,0.460028,0.773156,0.428463,0.560306
0.429006,117928.096067,0.623130,0.318642,0.460726,0.776536,0.429006,0.560880
0.428888,118068.213900,0.623182,0.318505,0.460583,0.776337,0.428888,0.560819
0.426492,117391.130317,0.619917,0.316806,0.458802,0.772382,0.426492,0.558754
0.426492,117391.130317,0.619917,0.316806,0.458802,0.772382,0.426492,0.558754
0.426510,117404.313621,0.619956,0.316823,0.458819,0.772424,0.426510,0.558772
0.428703,117692.840982,0.622101,0.318336,0.460411,0.775351,0.428703,0.560589
0.428564,117827.822946,0.622076,0.318185,0.460248,0.775043,0.428564,0.560510
0.429015,117421.185453,0.620995,0.318443,0.460514,0.774084,0.429015,0.560846
0.428564,117816.298910,0.622028,0.318182,0.460245,0.774989,0.428564,0.560510
0.428697,117731.818491,0.622233,0.318334,0.460410,0.775498,0.428697,0.560583
0.428845,117957.736361,0.622868,0.318453,0.460522,0.775996,0.428845,0.560766
0.429310,118529.341898,0.624956,0.318962,0.461059,0.778334,0.429310,0.561247
0.428117,117232.893015,0.620176,0.317786,0.459838,0.773165,0.428117,0.560031
0.428690,117758.123274,0.622392,0.318351,0.460424,0.775687,0.428690,0.560578
0.428346,117561.554349,0.621325,0.318012,0.460076,0.774423,0.428346,0.560258
0.426979,117480.891218,0.620731,0.317279,0.459305,0.773561,0.426979,0.559182
0.428224,117394.120607,0.620776,0.317884,0.459937,0.773819,0.428224,0.560128
0.428546,117588.415169,0.621744,0.318193,0.460259,0.774959,0.428546,0.560431
0.428573,117569.904682,0.621656,0.318211,0.460281,0.774860,0.428573,0.560461
0.428889,117978.989066,0.622949,0.318492,0.460562,0.776086,0.428889,0.560809
0.428518,117762.628253,0.621876,0.318139,0.460197,0.774828,0.428518,0.560461
0.428961,118053.839056,0.623235,0.318563,0.460636,0.776405,0.428961,0.560879
0.428729,117753.817223,0.622309,0.318364,0.460440,0.775581,0.428729,0.560615
0.428735,117766.269525,0.622333,0.318373,0.460452,0.775604,0.428735,0.560626
0.428759,117785.188562,0.622395,0.318393,0.460474,0.775673,0.428759,0.560649
0.428777,117787.173447,0.622409,0.318409,0.460489,0.775690,0.428777,0.560665
0.428987,118084.125045,0.623305,0.318586,0.460663,0.776478,0.428987,0.560908
0.428296,117453.825686,0.620930,0.317949,0.460010,0.773981,0.428296,0.560207
0.428610,117588.550787,0.621752,0.318245,0.460314,0.774969,0.428610,0.560494
0.428347,117512.267773,0.621125,0.318000,0.460066,0.774195,0.428347,0.560260
0.428891,117978.869778,0.622948,0.318493,0.460563,0.776085,0.428891,0.560810
0.428844,117956.475403,0.622866,0.318452,0.460521,0.775994,0.428844,0.560765
0.428869,117971.900360,0.622919,0.318474,0.460544,0.776053,0.428869,0.560790
0.428574,117841.231185,0.622118,0.318196,0.460259,0.775089,0.428574,0.560522
0.428869,117971.902304,0.622919,0.318474,0.460544,0.776053,0.428869,0.560790
0.428753,117772.653064,0.622356,0.318387,0.460467,0.775630,0.428753,0.560643
0.428366,117525.084306,0.621171,0.318017,0.460083,0.774246,0.428366,0.560279
0.428508,117759.008399,0.621862,0.318131,0.460188,0.774811,0.428508,0.560451
